wl_nm,R
380,0.30513
390,0.26968
400,0.42965
410,0.22193
420,0.19447
430,0.28449
440,0.43816
450,0.59757
460,0.72893
470,0.8239
480,0.88569
490,0.91824
500,0.92072
510,0.88683
520,0.82431
530,0.73862
540,0.62195
550,0.53507
560,0.47106
570,0.37655
580,0.15252
590,0.0079648
600,0.12948
610,0.27739
620,0.35203
630,0.38159
640,0.3893
650,0.36149
660,0.27973
670,0.15788
680,0.056646
690,0.035044
700,0.090751
710,0.17088
720,0.23287
730,0.27877
740,0.3225
750,0.36438
760,0.36525
770,0.34669
780,0.30322
